Coughs,Speech
kzNWFBPmNGE.wav,12SYZowiUvc.wav
GziKt-tXatU.wav,f1b3HmzhNhE.wav
WFZFXXM2J0U.wav,EUZpfU93_sM.wav
5r9Ixli8hnc.wav,4GLBqk8UCoE.wav
4K946lkrL9U.wav,3ieQAFvykpk.wav
-gvLnl1smfs.wav,9fn3PLRkMmg.wav
rBdCfnD819k.wav,kgNMRcJGvBc.wav
82AH3rqGLBI.wav,geb21mqUdLM.wav
TFUiChkeFWA.wav,0oLuOoKzIbI.wav
DYTLct-5tVs.wav,tO0lF2_n62k.wav
BNRW9HvOF4s.wav,KwbmluuCM9E.wav
B4dHtSx7OGc.wav,RN0XF9qQB6M.wav
GVNZZR1FcNY.wav,tcHZgaRw1uM.wav
UZmwsn6lj0s.wav,9koUns_b7zs.wav
W81Sp79iYQE.wav,ADsShc3VWCA.wav
lTGJX5f2scI.wav,MDG5egGo7Cw.wav
E5guDHgn7XQ.wav,JyzHkqtiRN0.wav
1_oZWCKCGqA.wav,-7L3S4jU7sU.wav
SqjFpizO-zk.wav,7u-1TB8tK_U.wav
QrVmqQnzsFg.wav,2FZGLuyopR8.wav
9_PvnvCyKc8.wav,FUeMvjJIcEQ.wav
xlfAuqahH3g.wav,0bmqpeklYyY.wav
aEweYcCGvkU.wav,rhkd04NbaII.wav
njVQaT_56uM.wav,hveahcXkiRA.wav
QAZ40aQlNZk.wav,NDTdISsONos.wav
lWh7vivMsjA.wav,ChA5WF0EDn4.wav
9h3a7fN0f-c.wav,D38ccDhD8RQ.wav
wuvn-vp5InE.wav,Cv_t_QFHNAg.wav
a8qOv7R0UkI.wav,JT15gM9S0qs.wav
d-6P7XPoRvk.wav,htuBjg9iIpQ.wav
wFt2ccttPfA.wav,oyBZnfrP09o.wav
ZAL2wU5J-Pc.wav,J7oPN8OsHIg.wav
es4irq9lyJI.wav,i1GuaJVpCNM.wav
JKUSKYdYo9w.wav,qOCQBECcZhM.wav
vA_AIILl76w.wav,4CYkCxq9KBc.wav
XxZ56aZoXRY.wav,KtKVi3Ippu0.wav
VfaQGDzoCt0.wav,3us2C_0ZUYg.wav
jATCv2v-iXo.wav,2m8vFsdOFNY.wav
YTP7YMaEm1s.wav,_BFPSFSXj6M.wav
VIhx_NIaWOU.wav,PQQdKKNxk8k.wav
kWc9LXvShF4.wav,tViu9akWSSA.wav
bVeS9zItALA.wav,HY56GCJBSKc.wav
4vyk0EIJGWY.wav,AQgr0ABLLCU.wav
9XSE1pdHwSU.wav,PKqWgAtxPtA.wav
-bZrDCS8KAg.wav,7epbBJKxiaU.wav
fAgL29IrM7Y.wav,t_r24D7-jnQ.wav
d2wkdrScerU.wav,j-lyA7oe2Pw.wav
5hmDPsZnmf4.wav,iJlHFBJmmbw.wav
A2QXDa7s4X4.wav,cAYYTzKUtTM.wav
ZwC0opd239A.wav,3y9WsKrYczw.wav
40fIOkLK3j4.wav,2ACr0YgMUQ8.wav
Mt9iHV7Zr3Y.wav,Y_-3QGGUOOM.wav
vA-eGyCdVBE.wav,A_U8MybUWFo.wav
fHvPzjInHuI.wav,ybz_zG6SwCc.wav
fzKgIf5fNWk.wav,OE-QxTj4uDc.wav
IZ2hLZCF5dw.wav,HvSDgcu454w.wav
0mZQ6Q-viPw.wav,1_-VtfgABGo.wav
wPMLT4OICTU.wav,1hPfEvtGvsQ.wav
9Zl4VUruA9I.wav,JCGCNnpL1sY.wav
-UxFUu6iiiY.wav,G_ySnijhcb4.wav
dFmT9hZ5sbA.wav,HHqnoosMFsQ.wav
yIC-CoFV9ZI.wav,QYdGGTMpIiU.wav
TivYzyJK2-I.wav,FSjAk6JsK4s.wav
OZ-82QD6z6I.wav,DGT5J4RlX1M.wav
IYllzXfvkmY.wav,PdO6NuWpazw.wav
p4WDOafMSCc.wav,D_VgVbIgmoE.wav
EfYf7arPeNk.wav,E6qZ8RLQrgI.wav
MbFd1mxYqf0.wav,QEXot8Uw7CM.wav
kkmpw7ERY-g.wav,_C7TbXD3Dx8.wav
txjgTY8m29I.wav,Nf5ceLnwXVk.wav
MPRocP3N_E0.wav,-XvR4PkzMPA.wav
Nihn9j68pBE.wav,BYdEmR1koDQ.wav
0iiwZ2_9Vi8.wav,gNpjtnlhgx4.wav
z1AqT-8Yu3A.wav,iCdQnxracRw.wav
OcsJ_i9x5Ac.wav,dvqO225pYao.wav
YT56j7qxW28.wav,8EB5gS8fEuE.wav
_FVreKE6Fj8.wav,1kJPQo8gRGc.wav
USCoU2yzu6o.wav,pyPMy84TsGE.wav
r2xZJz2rfQQ.wav,GrJX7oUx8gM.wav
-jZav58HEOw.wav,XU0i8pgIwLs.wav
IzPMbIll3LE.wav,AC2BK3hQVWc.wav
k1l1cm6nGOo.wav,B9xezYosg-c.wav
P8BKuqKM-II.wav,TZTFHV3bkhM.wav
wrwXFbFvRDE.wav,A2z8v-zWVE8.wav
EmAi3m5j0QQ.wav,zxzuMrdWxZU.wav
xrinnBnPDfo.wav,66MUEhmWztk.wav
ao9oox4OiGU.wav,O84a4RcRmO8.wav
U43jRORy_eo.wav,7aeQBSqPGnY.wav
d4tR-uPEiyA.wav,e9HzdUWhSDQ.wav
BwfscnYTNnA.wav,rqSdzn3Wxno.wav
x7-Zj2E-CqY.wav,431ekXqfDnk.wav
n4eU5yqGMfM.wav,3cjjySLx4-g.wav
X8w3AvdsQUk.wav,PZP2-rOhRGI.wav
Q0hwoDMQYYM.wav,yk0o-tMeCCY.wav
0AWF9zOT8YY.wav,N9qtEJOCqOw.wav
BqK5GsVPpB8.wav,691T5zvXjns.wav
e3JhqBg64HE.wav,JeTfXot9aXA.wav
4WLF2CT0eCM.wav,3tb6shR0pRQ.wav
De4HdyocTHY.wav,Bsv5AUJ7e58.wav
oVE7t_RU8V8.wav,d0MfhmLmZR0.wav
JbxkRKLvwWY.wav,rTIS1oNg9M0.wav
3id3zRRZBVM.wav,BwYDAQbMkhU.wav
nW9VFd43pFI.wav,MF3gWyRYJvM.wav
2R3J8pH6E6s.wav,V-Ye9VxbaCg.wav
1MSYO4wgiag.wav,-_Kkz6AeVyE.wav
JUiy7rvdZ0k.wav,oklkWEzJWQs.wav
sNKW1Kl39Jo.wav,hyRcbtahBCE.wav
ch52-gNqnTg.wav,0O_saQ8GlXk.wav
Tgq8krfDZ4A.wav,5iE7PbZIqjc.wav
JYNEaE7gS2Y.wav,m7vshSb4OB4.wav
1UDFq2InljM.wav,-2MSnqRAzdE.wav
j1JtHfcLG14.wav,dBOToZxjm1w.wav
v2nem-VUHNE.wav,9DM7cn5H3_0.wav
vwe0wLJpgYU.wav,5zmNNYOmPLs.wav
9hl4R896W3Y.wav,UiYxRgqLSxk.wav
f4CxHwqbn3M.wav,bXd37JBDTuA.wav
-hu5q-Nn4BM.wav,J28jPtYUvTc.wav
YsQvM_feVtQ.wav,7T9GhRgl884.wav
_HLvqHDclW8.wav,Z2x2cgW3NFU.wav
YiJiZDYfKWo.wav,I8crF1o8d90.wav
LyLfOfTHg9I.wav,3zXoWTrcSm4.wav
rkF_uMizqoc.wav,TiAp_ahnl9E.wav
42RAaEB-Jgs.wav,HBHQFiKpqkE.wav
svGU4Rt3krw.wav,0cVI-HLo0Pw.wav
T9W31G_ddH0.wav,cdeKJCvTFvM.wav
wi-M_tM0M1Q.wav,RK8BpK56YYM.wav
3vYB7hZxQgA.wav,5LGXBsK4ayQ.wav
IopLlgdJjUM.wav,NufarYn_VZw.wav
nBuw_KZXT_k.wav,yBsPMh-NJ_8.wav
yEYHRO-kTHM.wav,-G17hgyMqUU.wav
ydOGlFIbDNc.wav,9a-bltYK2Rk.wav
a7rf1WCot30.wav,57U-lmLnxhk.wav
6lbkx_tf50g.wav,fn-bZ8j9FQs.wav
XqqfOyDsg8E.wav,gUNpV8VR_EI.wav
0qktEoIX2Sk.wav,zCOerXnpYJc.wav
1PajbAKd8Kg.wav,ebnd9EXr4mk.wav
O61IKTdt2I0.wav,3O4cWgtf8i0.wav
RWCSzp1zU8A.wav,6QSjQLuvnnY.wav
bbbKtEqT5ZM.wav,HDi6fpVd7B4.wav
zKefDPSisIY.wav,0XtBGoIog50.wav
hSQx9PfDrmc.wav,AlC1sf0W2rU.wav
TA-iHSeEUYk.wav,-EgVhKAb0z0.wav
Rtg1SUrxOPY.wav,-C-cUB_9_V8.wav
KCjBVnB5EYc.wav,vNxfYZ7Is9I.wav
vcN1jyBBmls.wav,gDVjyrJaybE.wav
SuXoEaXCxII.wav,RzAaFRR5Q2g.wav
6nTcsNoIGDw.wav,7qhfvrrn_vw.wav
2I2IzXnhmtc.wav,g0g1e0Ovt3I.wav
gqN5mKCWn58.wav,5aaq-1zlFaY.wav
bHrcxPKU4A4.wav,kK7GQ5blEzw.wav
7hQ-7sWi8W0.wav,2uWJCP20J5U.wav
pLCA4ZG4_M0.wav,ej8wqu_FMS4.wav
TBqL4VJ4u2Y.wav,02QOIVPfTwM.wav
rR44bkHG36E.wav,oVLAvX0zCvE.wav
0v8MGxNetjg.wav,QciztgPcgVE.wav
QQouRzOM9BM.wav,uQMnRC2ZHL4.wav
jjf7LZxrwK8.wav,RdB75Ba6i8U.wav
Sjbdarlco0M.wav,DCewu3U7goM.wav
YtdWQYALUHI.wav,1dpSxxzpkRs.wav
nfdEAfLG7qQ.wav,3X3AA9C6BsQ.wav
iWqHHUf4qR4.wav,_a-8OqLH-cw.wav
rTWz-KoNhyQ.wav,2xI0fJ0J06Y.wav
9KNqsONT3-Y.wav,2USkB0IUCZ4.wav
bXn8tOyzSlM.wav,p1s07zH49_I.wav
PluONSpL-Tk.wav,RQC4l0NF0O4.wav
uazNcOHmWwM.wav,3Z9HVGRB6zc.wav
NGDBQvQ-97g.wav,WRrM9l8Wa-U.wav
KFzvoBATT2s.wav,JqKAN7dHiKA.wav
7PbmVAZrObA.wav,Pqv1BoVs2B0.wav
I8q1M4pl0mY.wav,B4dvoudOFpU.wav
0oUkEze_kmo.wav,51YzFJYNcbs.wav
eMbVhgCFJQg.wav,ytqTu8SSntE.wav
o-TJISpYLFc.wav,L1BNBkO8Mpg.wav
